contract_index,field,family,disjoint_vector_tranche,authoritative_type,authoritative_default,authoritative_grid,authoritative_semantics,authoritative_read_site,authoritative_function,parent_gates_or_modes_in_source_window,score_or_gate_composition,required_npz_arrays,required_npz_arrays_basis,side_applicability,npz_data_condition,venue_applicability,timeframe_applicability,read_missing_config_behavior,missing_market_data_behavior,implementation_guard
42,MTS_ENTRY_QUALITY_STRONG,ENTRY,01_ENTRY_SIGNALS,float,40.0,[40.0],"Read MTS_ENTRY_QUALITY_STRONG with authoritative default 40.0 at ez_positions_quick.py:2698:rate:getattr; apply it only through the cited source statement using ADDITIVE_SCORE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2698:rate:getattr,rate,"[""MI_ENTRY_ENABLED""]",ADDITIVE_SCORE,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""40.0"",""source"":""READ_FALLBACK:ez_positions_quick.py:2698"",""value"":40.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
43,OBLIGATORY_OPEN_USD,ENTRY,01_ENTRY_SIGNALS,float,400.0,[400.0],"Read OBLIGATORY_OPEN_USD with authoritative default 400.0 at ez_manage.py:30493:momentum_sma_watchdog_loop:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:30493:momentum_sma_watchdog_loop:getattr,momentum_sma_watchdog_loop,"[""OBLIGATORY_SMA200_WT3M_ENABLED"",""WATCHDOG_DC_FORCE_OPEN_ENABLED""]",BOOLEAN_GATE_OR_SIGNAL,"[""wt1_3m_prev""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""00.0"",""source"":""READ_FALLBACK:ez_manage.py:30493"",""value"":0.0}","{""behavior"":""MATCH_AUTHORITATIVE_SOURCE_FALLBACKS"",""source_fallbacks"":[{""expression"":""_wt1_3m"",""field"":""wt1_3m_prev""}],""vector_requirement"":""Do not substitute zero/hash events; reproduce these fallbacks and validity predicates exactly.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
44,OPEN_RATE_BREAKER_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,True,"[false,true]","Read OPEN_RATE_BREAKER_ENABLED with authoritative default True at ez_manage.py:24296:execute_now:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:24296:execute_now:getattr,execute_now,[],THRESHOLD_PREDICATE,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_manage.py:24296"",""value"":true}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
45,OPEN_RATE_MAX,ENTRY,01_ENTRY_SIGNALS,int,30,[30],"Read OPEN_RATE_MAX with authoritative default 30 at ez_manage.py:24298:execute_now:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:24298:execute_now:getattr,execute_now,"[""OPEN_RATE_BREAKER_ENABLED""]",THRESHOLD_PREDICATE,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""15"",""source"":""READ_FALLBACK:ez_manage.py:24298"",""value"":15}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
46,OPEN_RATE_WINDOW_SEC,ENTRY,01_ENTRY_SIGNALS,float,30.0,[30.0],"Read OPEN_RATE_WINDOW_SEC with authoritative default 30.0 at ez_manage.py:24297:execute_now:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:24297:execute_now:getattr,execute_now,"[""OPEN_RATE_BREAKER_ENABLED""]",THRESHOLD_PREDICATE,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""60.0"",""source"":""READ_FALLBACK:ez_manage.py:24297"",""value"":60.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
47,OVERBOUGHT_SCORE_GUT_BREAKOUT_BYPASS,ENTRY,01_ENTRY_SIGNALS,bool,True,"[false,true]","Read OVERBOUGHT_SCORE_GUT_BREAKOUT_BYPASS with authoritative default True at ez_positions_quick.py:4459:rate:getattr; apply it only through the cited source statement using ADDITIVE_SCORE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:4459:rate:getattr,rate,[],ADDITIVE_SCORE,"[""adx_{_bb_tf}"",""adx_{_dc_tf}"",""bb_pct_b_1h"",""bb_pct_b_{_bb_tf}"",""dc_high_15m_ant"",""dc_high_1h_ant"",""dc_high_1m"",""dc_high_4h_ant"",""dc_high_{_dc_tf}"",""dc_low_15m_ant"",""dc_low_1h_ant"",""dc_low_1m"",""dc_low_4h_ant"",""dc_low_{_dc_tf}"",""ema_14_{_ep_tf}"",""ema_20_{_ep_tf}"",""ema_9_{_ep_tf}"",""ema_9_{_rm_tf}"",""macd_crossover_{_me_tf}"",""macd_crossover_{_mz_tf}"",""macd_crossover_{_rm_tf}"",""macd_crossover_{_tc_tf}"",""macd_crossunder_{_me_tf}"",""macd_crossunder_{_mz_tf}"",""macd_crossunder_{_rm_tf}"",""macd_crossunder_{_tc_tf}"",""macd_{_mz_tf}"",""rsi_1h"",""rsi_2_1h"",""rsi_{_rm_tf}"",""rsi_{_tc_tf}"",""sma_200_{_bb_tf}"",""sma_200_{_es_tf}"",""sma_200_{_mz_tf}"",""wt1_4h"",""wt1_D"",""wt2_4h"",""wt2_D""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_positions_quick.py:4459"",""value"":true}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
48,PRICE_CROSSED_HTF_AGAINST_VETO_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,True,"[false,true]","Read PRICE_CROSSED_HTF_AGAINST_VETO_ENABLED with authoritative default True at ez_manage.py:36284:process_single_reentry_evaluation:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:36284:process_single_reentry_evaluation:getattr,process_single_reentry_evaluation,[],THRESHOLD_PREDICATE,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_manage.py:36284"",""value"":true}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
49,QUALITY_BOTTOM_ENTRY_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,False,"[true,false]","Read QUALITY_BOTTOM_ENTRY_ENABLED with authoritative default False at v12_wide_engine.py:6369:simulate_one_symbol:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",v12_wide_engine.py:6369:simulate_one_symbol:getattr,simulate_one_symbol,[],BOOLEAN_GATE_OR_SIGNAL,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:v12_wide_engine.py:6369"",""value"":true}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
50,QUICK_OPEN_STRONG_BB_LONG_MAX,QUICK_OPEN_STRONG,01_ENTRY_SIGNALS,float,0.3,[0.3],"Read QUICK_OPEN_STRONG_BB_LONG_MAX with authoritative default 0.3 at vec_paths/live_only_signals_batch5.py:324:check_quick_open_strong_entry:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",vec_paths/live_only_signals_batch5.py:324:check_quick_open_strong_entry:getattr,check_quick_open_strong_entry,[],THRESHOLD_PREDICATE,"[""bb_pct_b_15m"",""stoch_k_{ltf}""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,LONG,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""0.30"",""source"":""READ_FALLBACK:live_only_signals_batch5.py:324"",""value"":0.3}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
51,QUICK_OPEN_STRONG_BB_SHORT_MIN,QUICK_OPEN_STRONG,01_ENTRY_SIGNALS,float,0.7,[0.7],"Read QUICK_OPEN_STRONG_BB_SHORT_MIN with authoritative default 0.7 at vec_paths/live_only_signals_batch5.py:326:check_quick_open_strong_entry:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",vec_paths/live_only_signals_batch5.py:326:check_quick_open_strong_entry:getattr,check_quick_open_strong_entry,[],THRESHOLD_PREDICATE,"[""bb_pct_b_15m"",""stoch_k_{ltf}""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,SHORT,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""0.70"",""source"":""READ_FALLBACK:live_only_signals_batch5.py:326"",""value"":0.7}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
52,QUICK_OPEN_STRONG_DC_LONG_MAX,QUICK_OPEN_STRONG,01_ENTRY_SIGNALS,float,0.4,[0.4],"Read QUICK_OPEN_STRONG_DC_LONG_MAX with authoritative default 0.4 at vec_paths/live_only_signals_batch5.py:331:check_quick_open_strong_entry:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",vec_paths/live_only_signals_batch5.py:331:check_quick_open_strong_entry:getattr,check_quick_open_strong_entry,[],THRESHOLD_PREDICATE,"[""bb_pct_b_15m""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,LONG,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""0.40"",""source"":""READ_FALLBACK:live_only_signals_batch5.py:331"",""value"":0.4}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
53,QUICK_OPEN_STRONG_DC_SHORT_MIN,QUICK_OPEN_STRONG,01_ENTRY_SIGNALS,float,0.6,[0.6],"Read QUICK_OPEN_STRONG_DC_SHORT_MIN with authoritative default 0.6 at vec_paths/live_only_signals_batch5.py:333:check_quick_open_strong_entry:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",vec_paths/live_only_signals_batch5.py:333:check_quick_open_strong_entry:getattr,check_quick_open_strong_entry,[],THRESHOLD_PREDICATE,"[""bb_pct_b_15m""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,SHORT,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""0.60"",""source"":""READ_FALLBACK:live_only_signals_batch5.py:333"",""value"":0.6}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
54,QUICK_OPEN_STRONG_K_LONG_MAX,QUICK_OPEN_STRONG,01_ENTRY_SIGNALS,float,25.0,[25.0],"Read QUICK_OPEN_STRONG_K_LONG_MAX with authoritative default 25.0 at vec_paths/live_only_signals_batch5.py:317:check_quick_open_strong_entry:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",vec_paths/live_only_signals_batch5.py:317:check_quick_open_strong_entry:getattr,check_quick_open_strong_entry,[],THRESHOLD_PREDICATE,"[""bb_pct_b_15m"",""stoch_k_{ltf}"",""wt1_1h"",""wt1_4h"",""wt2_1h"",""wt2_4h""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,LONG,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""25.0"",""source"":""READ_FALLBACK:live_only_signals_batch5.py:317"",""value"":25.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
55,QUICK_OPEN_STRONG_K_SHORT_MIN,QUICK_OPEN_STRONG,01_ENTRY_SIGNALS,float,75.0,[75.0],"Read QUICK_OPEN_STRONG_K_SHORT_MIN with authoritative default 75.0 at vec_paths/live_only_signals_batch5.py:319:check_quick_open_strong_entry:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",vec_paths/live_only_signals_batch5.py:319:check_quick_open_strong_entry:getattr,check_quick_open_strong_entry,[],THRESHOLD_PREDICATE,"[""bb_pct_b_15m"",""stoch_k_{ltf}"",""wt1_4h"",""wt2_4h""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,SHORT,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""75.0"",""source"":""READ_FALLBACK:live_only_signals_batch5.py:319"",""value"":75.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
56,QUICK_OPEN_STRONG_VEC_ENABLED,QUICK_OPEN_STRONG,01_ENTRY_SIGNALS,bool,False,"[false,true]","Read QUICK_OPEN_STRONG_VEC_ENABLED with authoritative default False at v12_wide_engine.py:7815:simulate_one_symbol:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",v12_wide_engine.py:7815:simulate_one_symbol:getattr,simulate_one_symbol,"[""DAEMON_PRICE_CROSS_REENTRY_VEC_ENABLED""]",BOOLEAN_GATE_OR_SIGNAL,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""False"",""source"":""READ_FALLBACK:v12_wide_engine.py:7815"",""value"":false}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
57,QUICK_OPEN_STRONG_VEL_MIN,QUICK_OPEN_STRONG,01_ENTRY_SIGNALS,float,1.0,[1.0],"Read QUICK_OPEN_STRONG_VEL_MIN with authoritative default 1.0 at vec_paths/live_only_signals_batch5.py:300:check_quick_open_strong_entry:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",vec_paths/live_only_signals_batch5.py:300:check_quick_open_strong_entry:getattr,check_quick_open_strong_entry,"[""QUICK_OPEN_STRONG_VEC_ENABLED""]",PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""wt1_1h"",""wt1_4h"",""wt2_1h"",""wt2_4h""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""1.0"",""source"":""READ_FALLBACK:live_only_signals_batch5.py:300"",""value"":1.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
58,RZ_BASELINE_BOUNCE_SHORT_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,False,"[false,true]","Read RZ_BASELINE_BOUNCE_SHORT_ENABLED with authoritative default False at ez_positions_quick.py:8028:__init__:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:8028:__init__:getattr,__init__,"[""DELTA_ENGINE_ENABLED"",""DELTA_EXIT_DOM_TF_ENABLED"",""RZ_ENTRY_ENABLED"",""RZ_EXIT_ENABLED"",""STRUCTURAL_EXIT_GATE_ENABLED""]",BOOLEAN_GATE_OR_SIGNAL,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,SHORT,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_positions_quick.py:8028"",""value"":true}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
59,RZ_BREAKOUT_BAND,ENTRY,01_ENTRY_SIGNALS,float,0.05,[0.05],"Read RZ_BREAKOUT_BAND with authoritative default 0.05 at ez_manage.py:34598:evaluate_technical_indicator_signals:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:34598:evaluate_technical_indicator_signals:getattr,evaluate_technical_indicator_signals,"[""RZ_BREAKOUT_ENTRY_ENABLED""]",THRESHOLD_PREDICATE,"[""bb_pct_b_1h""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""0.05"",""source"":""READ_FALLBACK:ez_manage.py:34598"",""value"":0.05}","{""behavior"":""MATCH_AUTHORITATIVE_SOURCE_FALLBACKS"",""source_fallbacks"":[{""expression"":""0.5"",""field"":""bb_pct_b_1h""}],""vector_requirement"":""Do not substitute zero/hash events; reproduce these fallbacks and validity predicates exactly.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
60,RZ_BREAKOUT_ENTRY_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,False,"[true,false]","Read RZ_BREAKOUT_ENTRY_ENABLED with authoritative default False at ez_manage.py:34594:evaluate_technical_indicator_signals:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:34594:evaluate_technical_indicator_signals:getattr,evaluate_technical_indicator_signals,[],THRESHOLD_PREDICATE,"[""bb_pct_b_1h""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""False"",""source"":""READ_FALLBACK:ez_manage.py:34594"",""value"":false}","{""behavior"":""MATCH_AUTHORITATIVE_SOURCE_FALLBACKS"",""source_fallbacks"":[{""expression"":""0.5"",""field"":""bb_pct_b_1h""}],""vector_requirement"":""Do not substitute zero/hash events; reproduce these fallbacks and validity predicates exactly.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
61,SCALP_V2_ENTRY_MODE,SCALP_V2_ENTRY,01_ENTRY_SIGNALS,str,breakout,"[""breakout""]","Read SCALP_V2_ENTRY_MODE with authoritative default 'breakout' at vec_paths/scalp_v2.py:137:check_scalp_v2_entry:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",vec_paths/scalp_v2.py:137:check_scalp_v2_entry:getattr,check_scalp_v2_entry,"[""SCALP_MODE""]",PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""\""breakout\"""",""source"":""READ_FALLBACK:scalp_v2.py:137"",""value"":""breakout""}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
62,SCALP_V3_REQUIRE_SR_ON_ENTRY,ENTRY,01_ENTRY_SIGNALS,bool,False,"[false,true]","Read SCALP_V3_REQUIRE_SR_ON_ENTRY with authoritative default False at ez_positions_quick.py:18738:_scalp_v3_attempt_open:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:18738:_scalp_v3_attempt_open:getattr,_scalp_v3_attempt_open,[],BOOLEAN_GATE_OR_SIGNAL,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""False"",""source"":""READ_FALLBACK:ez_positions_quick.py:18738"",""value"":false}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
